Score,Rating,Address,City,ZIP,Owner,Value,Type,Year Built,Sqft,Signals,Court Activity,Mail Name,Mail Address,Mail City,Mail State,Mail ZIP,Bridge Page
97,HIGH,221 NW 106 AVE,PEMBROKE PINES,33026,"SANCHEZ,MANUEL",313140,Single Family,1986,978,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment; Death certificate recorded,satisfaction 11/07/2025; mortgage 10/28/2024; deed_transfer 10/28/2024; lien 05/14/2024; probate 04/16/2025,"SANCHEZ,MANUEL",10220 PORT OF SPAIN ST,COOPER CITY,FLORIDA,33026,https://title.rootz.global/p/farm?address=221%20NW%20106%20AVE&city=PEMBROKE%20PINES
97,HIGH,3805 NW 107 WAY,SUNRISE,33351,"RODRIGUEZ,FRANCISCO",432550,Single Family,1990,1628,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment; Death certificate recorded,death 11/24/2025; probate 11/24/2025; lien 10/30/2025; satisfaction 10/30/2024; lis_pendens 07/23/2025,"RODRIGUEZ,FRANCISCO",891 SW 171 TER,PEMBROKE PINES,FLORIDA,33027,https://title.rootz.global/p/farm?address=3805%20NW%20107%20WAY&city=SUNRISE
92,HIGH,2541 ARAGON BLVD,SUNRISE,33322,"SANCHEZ,MANUEL",125290,Condo,1976,1162,Absentee owner; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment; Death certificate recorded,satisfaction 11/07/2025; mortgage 10/28/2024; deed_transfer 10/28/2024; lien 05/14/2024; probate 04/16/2025,"SANCHEZ,MANUEL",2541 ARAGON BLVD #201,SUNRISE,FLORIDA,33322,https://title.rootz.global/p/farm?address=2541%20ARAGON%20BLVD&city=SUNRISE
87,HIGH,1590 SHORELINE WAY,HOLLYWOOD,33019,"DOLGONOS,EL",1660970,Single Family,1997,3346,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Death certificate recorded,satisfaction 12/11/2025; deed_transfer 11/24/2025; probate 11/24/2025; lis_pendens 08/26/2024; death 08/08/2025,"DOLGONOS,EL",16051 COLLINS AVE #1604,SUNNY ISLES BEACH,FLORIDA,33160,https://title.rootz.global/p/farm?address=1590%20SHORELINE%20WAY&city=HOLLYWOOD
85,HIGH,2222 GARFIELD ST,HOLLYWOOD,33020,"SKOPP,STEVEN D",507980,Multi-Family (10+),1978,2228,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,lis_pendens 12/31/2025; probate 12/23/2024; final_judgment 12/11/2025; lien 08/29/2024; satisfaction 04/03/2025,"SKOPP,STEVEN D",933 HARBORVIEW N,HOLLYWOOD,FLORIDA,33019,https://title.rootz.global/p/farm?address=2222%20GARFIELD%20ST&city=HOLLYWOOD
85,HIGH,2450 JACKSON ST,HOLLYWOOD,33020,"SKOPP,STEVEN D",650550,Multi-Family (10+),1990,2046,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,lis_pendens 12/31/2025; probate 12/23/2024; final_judgment 12/11/2025; lien 08/29/2024; satisfaction 04/03/2025,"SKOPP,STEVEN D",933 HARBOR VIEW N,HOLLYWOOD,FLORIDA,33019,https://title.rootz.global/p/farm?address=2450%20JACKSON%20ST&city=HOLLYWOOD
85,HIGH,7513 NW 47 DR,CORAL SPRINGS,33067,"SAKS,JEFFREY A",1506530,Single Family,1994,5890,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,deed_transfer 12/03/2024; probate 11/25/2025; satisfaction 11/04/2025; lis_pendens 09/10/2025; lien 07/24/2025,"SAKS,JEFFREY A",1063 HILLSBORO MILE APT 401,HILLSBORO BCH,FLORIDA,33062,https://title.rootz.global/p/farm?address=7513%20NW%2047%20DR&city=CORAL%20SPRINGS
85,HIGH,1749 NW 165 AVE,PEMBROKE PINES,33028,"GARCIA,LUIS",508660,Single Family,1997,1986,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,final_judgment 12/26/2024; lis_pendens 12/16/2024; satisfaction 12/02/2025; mortgage 11/20/2025; probate 11/07/2024,"GARCIA,LUIS",300 S AUSTRALIAN AVE UNIT 1219,WEST PALM BCH,FLORIDA,33401,https://title.rootz.global/p/farm?address=1749%20NW%20165%20AVE&city=PEMBROKE%20PINES
85,HIGH,900 SAINT CHARLES PL,PEMBROKE PINES,33026,"GARCIA,LUIS",239250,Condo,1981,1120,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,final_judgment 12/26/2024; lis_pendens 12/16/2024; satisfaction 12/02/2025; mortgage 11/20/2025; probate 11/07/2024,"GARCIA,LUIS",900 SAINT CHARLES PL #PH4,PEMBROKE PINES,FLORIDA,33026,https://title.rootz.global/p/farm?address=900%20SAINT%20CHARLES%20PL&city=PEMBROKE%20PINES
85,HIGH,2540 NE 11 AVE,POMPANO BEACH,33064,"MARTINEZ,ROBERTO",369990,Single Family,1961,1150,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,deed_transfer 12/22/2025; satisfaction 11/15/2024; mortgage 09/12/2024; lis_pendens 06/25/2025; final_judgment 06/12/2024,"MARTINEZ,ROBERTO",1311 NE 35 ST,POMPANO BEACH,FLORIDA,33064,https://title.rootz.global/p/farm?address=2540%20NE%2011%20AVE&city=POMPANO%20BEACH
85,HIGH,NW 14 ST,POMPANO BEACH,33060,"GARCIA,LUIS",165000,Vacant Residential,,,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,final_judgment 12/26/2024; lis_pendens 12/16/2024; satisfaction 12/02/2025; mortgage 11/20/2025; probate 11/07/2024,"GARCIA,LUIS",2635 W 81 ST,HIALEAH,FLORIDA,33016,https://title.rootz.global/p/farm?address=NW%2014%20ST&city=POMPANO%20BEACH
85,HIGH,1300 N OCEAN BLVD,POMPANO BEACH,33062,"MURPHY,MICHAEL",339390,Co-op,1964,890,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,final_judgment 10/29/2024; satisfaction 10/25/2024; probate 09/18/2025; lien 09/18/2024; deed_transfer 04/07/2025,"MURPHY,MICHAEL",1300 N OCEAN BLVD #108,POMPANO BEACH,FLORIDA,33062,https://title.rootz.global/p/farm?address=1300%20N%20OCEAN%20BLVD&city=POMPANO%20BEACH
85,HIGH,7161-7165 NW 15 ST,PLANTATION,33313,"SKOPP,STEVEN D",510410,Multi-Family (10+),1976,3296,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,lis_pendens 12/31/2025; probate 12/23/2024; final_judgment 12/11/2025; lien 08/29/2024; satisfaction 04/03/2025,"SKOPP,STEVEN D",933 HARBOR VIEW N,HOLLYWOOD,FLORIDA,33019,https://title.rootz.global/p/farm?address=7161-7165%20NW%2015%20ST&city=PLANTATION
85,HIGH,13249 SW 49 CT,MIRAMAR,33027,"MARTINEZ,MIGUEL",586150,Single Family,2000,2163,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment,satisfaction 11/21/2025; mortgage 11/12/2025; final_judgment 11/12/2025; probate 08/15/2025; lis_pendens 06/05/2025,"MARTINEZ,MIGUEL",335 SW 191ST AVE,PEMBROKE PINES,FLORIDA,33029,https://title.rootz.global/p/farm?address=13249%20SW%2049%20CT&city=MIRAMAR
82,HIGH,1315 N 46 AVE,HOLLYWOOD,33021,"RODRIGUEZ,FRANCISCO",515730,Single Family,1962,1795,Litigation pending (pre-foreclosure); Probate filing; Lien on property; Foreclosure judgment; Death certificate recorded,death 11/24/2025; probate 11/24/2025; lien 10/30/2025; satisfaction 10/30/2024; lis_pendens 07/23/2025,"RODRIGUEZ,FRANCISCO",1315 N 46 AVE,HOLLYWOOD,FLORIDA,33021,https://title.rootz.global/p/farm?address=1315%20N%2046%20AVE&city=HOLLYWOOD
82,HIGH,1724 ADAMS ST,HOLLYWOOD,33020,"GONZALEZ,DAVID",305480,Single Family,1944,969,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Foreclosure judgment; Death certificate recorded,satisfaction 12/16/2025; lis_pendens 12/09/2024; final_judgment 12/06/2024; mortgage 08/25/2025; deed_transfer 08/25/2025,"GONZALEZ,DAVID",1719 PLUNKETT ST,HOLLYWOOD,FLORIDA,33020,https://title.rootz.global/p/farm?address=1724%20ADAMS%20ST&city=HOLLYWOOD
82,HIGH,1727 PLUNKETT ST,HOLLYWOOD,33020,"GONZALEZ,DAVID",494320,Single Family,1952,2010,Absentee owner; No homestead; Litigation pending (pre-foreclosure); Probate filing; Foreclosure judgment; Death certificate recorded,satisfaction 12/16/2025; lis_pendens 12/09/2024; final_judgment 12/06/2024; mortgage 08/25/2025; deed_transfer 08/25/2025,"GONZALEZ,DAVID",1653 PLUNKETT ST,HOLLYWOOD,FLORIDA,33020,https://title.rootz.global/p/farm?address=1727%20PLUNKETT%20ST&city=HOLLYWOOD
82,HIGH,404 NW 70 AVE,PLANTATION,33317,"KACZOR,JOHN CHARLES",250170,Condo,1972,1200,Absentee owner; Litigation pending (pre-foreclosure); Probate filing; Lien on property; Death certificate recorded,satisfaction 12/10/2025; probate 11/21/2025; lis_pendens 11/14/2025; lien 10/22/2025; death 09/12/2025,"KACZOR,JOHN CHARLES",404 NW 70 AVE #219D,PLANTATION,FLORIDA,33317,https://title.rootz.global/p/farm?address=404%20NW%2070%20AVE&city=PLANTATION
